-0.047214,0.84721,0.066393,0.51361
-0.047214,0.84721,0.64639,1.0936
-0.047214,0.84721,1.7264,2.1736
-0.047214,0.84721,2.3064,2.7536
0.75279,1.6472,0.066393,0.51361
0.75279,1.6472,0.64639,1.0936
0.75279,1.6472,1.7264,2.1736
0.75279,1.6472,2.3064,2.7536
1.5528,2.4472,0.066393,0.51361
1.5528,2.4472,0.64639,1.0936
1.5528,2.4472,1.7264,2.1736
1.5528,2.4472,2.3064,2.7536
2.3528,3.2472,0.066393,0.51361
2.3528,3.2472,0.64639,1.0936
2.3528,3.2472,1.7264,2.1736
2.3528,3.2472,2.3064,2.7536
3.1528,4.0472,0.066393,0.51361
3.1528,4.0472,0.64639,1.0936
3.1528,4.0472,1.7264,2.1736
3.1528,4.0472,2.3064,2.7536
4.9728,5.8672,0.066393,0.51361
4.9728,5.8672,0.64639,1.0936
4.9728,5.8672,1.7264,2.1736
4.9728,5.8672,2.3064,2.7536
5.7888,6.6832,0.066393,0.51361
5.7888,6.6832,0.64639,1.0936
5.7888,6.6832,1.7264,2.1736
5.7888,6.6832,2.3064,2.7536
6.5888,7.4832,0.066393,0.51361
6.5888,7.4832,0.64639,1.0936
6.5888,7.4832,1.7264,2.1736
6.5888,7.4832,2.3064,2.7536
8.4088,9.3032,0.066393,0.51361
8.4088,9.3032,0.64639,1.0936
8.4088,9.3032,1.7264,2.1736
8.4088,9.3032,2.3064,2.7536
9.2248,10.119,0.066393,0.51361
9.2248,10.119,0.64639,1.0936
9.2248,10.119,1.7264,2.1736
9.2248,10.119,2.3064,2.7536
11.045,11.939,0.066393,0.51361
11.045,11.939,0.64639,1.0936
11.045,11.939,1.7264,2.1736
11.045,11.939,2.3064,2.7536
11.861,12.755,0.066393,0.51361
11.861,12.755,0.64639,1.0936
11.861,12.755,1.7264,2.1736
11.861,12.755,2.3064,2.7536
13.681,14.575,0.066393,0.51361
13.681,14.575,0.64639,1.0936
13.681,14.575,1.7264,2.1736
13.681,14.575,2.3064,2.7536
14.481,15.375,0.066393,0.51361
14.481,15.375,0.64639,1.0936
14.481,15.375,1.7264,2.1736
14.481,15.375,2.3064,2.7536
15.281,16.175,0.066393,0.51361
15.281,16.175,0.64639,1.0936
15.281,16.175,1.7264,2.1736
15.281,16.175,2.3064,2.7536
16.081,16.975,0.066393,0.51361
16.081,16.975,0.64639,1.0936
16.081,16.975,1.7264,2.1736
16.081,16.975,2.3064,2.7536
16.881,17.775,0.066393,0.51361
16.881,17.775,0.64639,1.0936
16.881,17.775,1.7264,2.1736
16.881,17.775,2.3064,2.7536
17.697,18.591,0.066393,0.51361
17.697,18.591,0.64639,1.0936
17.697,18.591,1.7264,2.1736
17.697,18.591,2.3064,2.7536
19.517,20.411,0.066393,0.51361
19.517,20.411,0.64639,1.0936
19.517,20.411,1.7264,2.1736
19.517,20.411,2.3064,2.7536
